name,address,rate,location,cost,Ambience,Parking,Suggested Food
Cake Art,"1/A, 3rd Main, 7th Cross, Kattebalag, Narasimharaja Colony, Basavanagudi, Bangalore",3.5,Basavanagudi,400.0,,,"black forest,white forest,samosa,fried ground nuts,kodubale chakkali,Black Forest,Butter Scotch pastries,traditional cream cakes"
Potato House,"9, Canara Bank Colony, Opposite Chikkalsandra Post Office, Main Road, Uttarahalli, Bangalore",3.4,Uttarahalli,200.0,,,"Kachi Dabeli,Vada Pav,Sabu Vada,Aloo sandwich,vadapav,finger chip,nurgers"
Matru Sagar,"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore",3.7,Mysore Road,300.0,family-friendly,Yes,"North Indian foods,Matru Sagar Special Ice cream,Puris,vadas,masala papas,Mushroom Manchurian,Mushroom fried rice,noodles"
Ugadi,"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore",2.9,Jayanagar,700.0,bad,,"biryani,kababs,tandoori,seafood,Andhra chilli chicken,Chicken Supreme,Fry piece biryani,prawn biryani,chicken frypiece biryani"
Sri Krishna Sweets,"121, DVG Road, R.M Complex, Basavanagudi, Bangalore",3.7,Basavanagudi,250.0,,,"mysurpa,badam halwa,kai muruku,Mysore Pak,Fried Cashews,Cashew Burfi"
In Time Cane Juice,"119, 5th Cross, Teachers Colony, Kumaraswamy Layout, Bangalore",3.5,Kumaraswamy Layout,100.0,,,sugarcane juice
Subway,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,600.0,good,,Subs
Daal Roti,"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",2.9,Kumaraswamy Layout,250.0,bad,,"veg mumtaz,veg malai,veg hariyali,chicken kassa,4 roti combo,egg curry,Noodles"
The Lassi Park,"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore",4.1,Jayanagar,200.0,friends-hangout,,"kulfi,brownie sizzler,falooda,chocolate sizzler,fruit salad with ice cream,Royal falooda,lassi,hot chocolate fudge sizzler,Lichi Shake,falooda,fruit salad with ice creams,Watermelon juice"
Cafe Coffee Day,"28th Main, 8th Block, Jayanagar, Bangalore",3.2,Jayanagar,900.0,friends-hangout,,"Tropical iceberg,Vanilla Cafe Latte,hot king cappuccino,green Apple tea,tawa pizza,Strawberry Pom Smoothie,Cool Blue,Crunchy Frappe,Classic Lemonade"
A2B - Adyar Ananda Bhavan,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",3.8,Mysore Road,400.0,,,"sambar,dosas"
Srikrishna Bhavan,"Next To BMTC Bus Stand, Banashankari, Bangalore",3.8,Banashankari,300.0,excellent,,
Timepass Dinner,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.8,Basavanagudi,600.0,family-friendly,,"soups,babycorn starters,butter naan,kadai panner,veg kohlapuri,pease pulav"
Green Gardenia,"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",3.8,Banashankari,700.0,,,
J Spice,"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,750.0,ok,,butter chicken
Karavali Family Restaurant,"13, 27th B Cross, 10th Main, Opposite BWSSB Water Tank, Geetha Colony, 4th Block, Jayanagar, Bangalore",3.5,Jayanagar,500.0,,,"chicken biryani,south India meals"
Karavali Lunch Home,"1779, 14th Main, Kumaraswamy Layout, Bangalore",3.7,Kumaraswamy Layout,350.0,excellent,,"Chicken Biriyani,Silver Fish Fry,Egg masala,Bangada Masala fry,chicken sukka,neer dosa,egg curry,Prawn Ghee Roast,Neer Dosa,Anjal Rawa Tawa,Bangda,chicken ghee roast,Kundapura chicken with neer dosa,egg bhurji,prawns,squid Sukka,fish thali,prawn sukka"
Hatti Kaapi,"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore",4.0,Jayanagar,200.0,friends-hangout,No,"filter coffee,Mysuru coffee,Badam Milk,Samosas,Banana Cakes,Mini Idli,Regular Idli Sambhar,Hazelnut Cold Coffee,Bisi Bele Baath"
Kolkata Kathi Roll's,"2/1,7th Main, Dwarakangar Hosakerehalli, Banashankari, Bangalore",3.6,Banashankari,250.0,bad,No,"egg paneer rolls,veg roll,chicken roll,egg chicken roll,gobi roll"
Upahara Darshini,"9/2, South End Main Road, Next to Surana College, Basavanagudi, Bangalore",3.9,Basavanagudi,600.0,excellent,Yes,"Bharjari Oota,Masala Dosa,Pulav,Vegetable rice,White rice,Sambar,Rasam,Curd rice,Tomato soup,Kharjoora obattu,Pineapple chutney,Kosambari,Corn salad,Tondekai palya,Fryums,Ice cream,Idly,Dosas,Poori Sagu"
The Chaat Shop,"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore",2.5,Basavanagudi,200.0,,,
Anda Ka Funda,"433/30/1, 10th Main, 28th A cross, 4th Block, Jayanagar, Bangalore",3.4,Jayanagar,250.0,bad,,"cheese paratha,Sattu paratha,Aloo paratha,egg rice,Gobi Manchurian,Chicken biryani,butter chicken"
Shri Vinayaka Ice N Juice,"14/38, Shivakrupa, 1st Model House Street, Near Nagasnadra Circle, DVG Road, Basavanagudi, Bangalore",3.2,Basavanagudi,150.0,,,"Pani puri,dahi puri,masala puri,gobi,Bhel puri,lime soda,Veg Sandwich,Samosas,Mosambi juice"
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",3.6,Banashankari,600.0,friends-hangout,,"tea,saffron tea,cranberry tea"
Ibaco,"147, 27th Cross, 3rd Main, 6th Block, Yediyur, Jayanagar, Bangalore",3.9,Jayanagar,300.0,excellent,,icecream
Jalaram Sweets,"202F, 27th Cross Road, Opposite Sapna Book House, Jayanagar, Bangalore",3.8,Jayanagar,250.0,,No,"Khandvi,Khaman,Vadapav,Dabeli,Jalebi,White dhokla,Samosa,Kachori,Fafda,Pav,Rasmalai,Papaya chutney,Dhokla,Khakra,Bhakarwadi,Wafers,Khari puffs,Chips,Samosas,Ghee Jalebi,Bhakarwadi Soft Pav,Undhiyu,Thepla,Pulka,Gulab jamuns"
Samskruti - Sanman Gardenia,"2, Ashoka Pillar Circle, 2nd Block, Jayanagar, Bangalore",4.1,Jayanagar,550.0,excellent,,"Salads,3 different Gravies,Noodles,Pasta,Rice Items,Desserts,Bread/Roti"
Bendakaluru Bytes,"1349, 4th Cross Road, Kilkodungalur, RPC Layout, Vijay Nagar, Bangalore",3.2,Vijay Nagar,300.0,,,"panner chilli,butter fruit milkshake,Masala Puri,Gobi Manchurian,Baby corn Manchurian,green chillie cheese sandwich,Dahi poor,pav bhaji,chocolate sandwich,corn sandwich"
Cocoa Bakes,"2466, 24th Cross Road, Siddanna Layout, Stage II, Banashankari, Bangalore",3.6,Banashankari,350.0,,,"mini macron's,red velvet cake,fruit cake,butterscotch"
Chumma Delicious,"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,200.0,good,,tiffin
New Prashanth Hotel,"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",3.9,Banashankari,650.0,,,"mudde with two kinds of curry,chicken kabab,mutton Keema balls,mutton chops"
Dwaraka Grand,Near dayananda sagar college kumarswamy layout,3.9,Kumaraswamy Layout,500.0,friends-hangout,,"Coffee,masala dosa,kodabu,mysore masala dosa"
Gufha - The President Hotel,"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",4.1,Jayanagar,1.2,excellent,,"Briyani,Afghani ghost biryani,chaat,chicken tikka,mushroom pepper fry,chana stuffed paratha,afgani biriyani,paneer gravy,Apollo fish,pahadi kebab,afghani dum subzi biryani,laccha panner jaali,Murgh jalferzi,qubani ka meeta,kebabs,rumali roti,paneer tikka,Butta kalimirch,Ruzwali kabab,Achari paneer,Afghani sabzi,vegetable Sheekh kabab,cream of tomato,baby-corn til starter,achari panneer thikka,hot chocolate fudge"
Cafe Vivacity,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,650.0,excellent,Yes,"filter coffee,french fries,brownie with ice cream,Potato Wedges,Corn n Cheese Garlic Bread,KitKat Milkshake,Belgian Waffle with Icecream,Red Velvet Cupcake"
Tanna's Kitchen,"#72, 3rd Cross DSI Road, Teachers Colony, Kumaraswamy Layout, Bangalore",3.1,Kumaraswamy Layout,250.0,friends-hangout,,"veg fried rice,Paneer Manchurian,complimentary foods and drinks,chicken"
Shree Mandarathi Grand,"8/10, Subramanyapura Main Road, Near Royal Mart, Uttarahalli, Bangalore",3.7,Uttarahalli,400.0,,,
Mojo Pizza - 2X Toppings,"287, 1st Floor, 7th Block, 100 Feet Ring Road, Phase 4, Banashankari, Bangalore",4.2,Banashankari,600.0,,,"Cheese garlic bread,Garlic Breadsticks + cheesy dip,Chicken full smash,Double Cheese Margarita,Tex max special pizza,Chicken keema pizza,BBQ chicken pizza,BBQ Chicken pizza,Fire me up,Smoky Joe,Paneer tikka,Mediterranean pizza,Smokey Joe,Farm Fresh,Crowded House,Meat eater pizza,Spicy paneer pizza,Choco lava cake,Chocolate lava cake,American bbq chicken wings,Indian tandoori chicken wings,Paneer tikka cheese blast pizza,Pepperoni and cheese,Half and half pizza,Exotic Cheese Garlic Bread"
Iceberg Icecreams,"23/1, Shop Street Road, Basavanagudi, Bangalore",4.0,Basavanagudi,250.0,excellent,,"Strawberry,KitKat,Choco Vanilla,Mixed Berry,Kala Jamoon Rolls,Almond cake,Chocolate butter,jelly belly,Nutty fudge,fruits sundae,dark chocolate belgian scoop,chocolate ice-cream,butter scotch,Dry fruit,chocolate choco chip,vanilla flavored ice cream"
South Kitchen,"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",4.3,Basavanagudi,100.0,excellent,,"Vada,Chutney,Shavige Bath,Idli,Kharabath,Avalakki,Khara Bhath,Kesari,Filter Coffee"
Chung Wah,"63, 18th Cross, 3rd Block, Jayanagar, Bangalore",3.7,Jayanagar,850.0,bad,,"American sweet corn soup,veg corn soup,chicken wings,chicken fried rice"
Shanthi Sagar,"24, Subramaniapura Main Road, Uttarahalli, Bangalore",3.1,Uttarahalli,400.0,,,"bhel puri,masala puri,paneer manchurian,Northern Indian food,Roti,Dal"
Millet Mama,"Next To Surana College, South End Circle, Basavanagudi, Bangalore",3.9,Basavanagudi,200.0,excellent,,"dosa,dessert favoured rice,vada,kosambri,millet laddu,millet bisi bele bath,millet halwa"
Bangarpet Chat Express,"318, Old market Road V.V.Puram, Basavanagudi, Bangalore",3.3,Basavanagudi,100.0,,,"pani puri,masala Puri,choc sandwich"
Prems Graama Bhojanam,"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore",4.3,Jayanagar,400.0,excellent,,"Thatte Idly,Millet Paddy,Jolada Roti,Navane Rawa Dosa,Benne Masala Dosa,Coconut Jaggery Dosa,Shunti Kashaya,Majjigae,Executive Millet Thali,masala vadai,millet pulao,Kesari/sheera,millet thali,curd rice,jaggery matka kulfi,Pesarattu,Raggi Mudhae,Millet Rawa Onion Dosa,Sambar Rice,Idly,Sweet Pongal,Chapati Oota,Mudde Oota,Benne Masal Dosa,Ragi Masal Dosa,Jwar Roti,Ghee Roast Dosa,Moong Dal Payasam,masala red rice dosa,sweet potato paliya"
Java City,"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore",2.6,Jayanagar,450.0,bad,,"coffee,hot chocolate"
Kamat Bugle Rock,"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore",3.9,Basavanagudi,300.0,family-friendly,Yes,"chilly bhajji,holige,jowar roti,brinjal curry,lentil curry,green leafy sabji,raita,rice,rasam,sambar,curd,Mix veg,palak,tomato soup,Veg kolapuri,mushroom masala,ghee rice,Special Roti oota"
Woodee Pizza,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,500.0,,,"Hot Golden Cake Pizza (Pineapple, Corn and Jalapeos),Jalapeo Garlic Bread"
Puliyogare Point,"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",4.2,Basavanagudi,100.0,bad,,"puliyogare,Sakkare Pongal,Akki Rotti,Mini Idli Sambar,Ambode,Kanchipuram Idli,Ragi Dosa,Vangi bath,sweet Pongal,khichdi,Medu dosa,khali dosa,Curd rice"
Bangalore Agarwal Bhavan,"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore",3.9,Jayanagar,400.0,bad,Yes,"lemon coriander soup,crispy corn,aloo anaar,Cooker biriyani,jalebis,Raj Kachori,Tawa Pulao,cheese dosa,Schezwan dosa,Pav bhaji"
Rustic Stove,"13, 32nd Cross, 7th Block, Jayanagar, Bangalore",3.8,Jayanagar,900.0,family-friendly,No,"Murgh Banjara Chicken,Rustic Andra Chicken Curry,Pot Biryani,Bamboo Biryani,Butter Naan,Butter Chicken,Dragon Prawns,Bhindi Masala,Honey Chilli Potato,Creamy Cheese Pasta,Bamboo Chicken Dum Biryani,Sholay Chicken,Chilli Pepper Mushroom,Babycorn Chilli,Capsicum Stuffed with Paneer,Dal Khichdi,Bamboo Veg Biryani,Schezwan Noodles"
Udupi Ruchi Grand,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2,Banashankari,200.0,excellent,,"bhel puri,Pav bhaji,paneer tikka masala"
De Thaali,"137/4, 8th Main Road, 27th Cross, Jayanagar, Bangalore",3.9,Jayanagar,550.0,friends-hangout,,"afghani chicken,butter chicken,chicken manjurian"
Spice Elephant,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,800.0,family-friendly,,"Chicken biriyani,Mutton biriyani,Thom yum Thai soup,roti,vilaythi paneer,burnt garlic fried rice,panner curry,gulab Jamun,chocolate cake,paneer uttar dakshin,paneer kurchan,Gobi hara pyaz,mix veg"
Just Thindi,"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore",3.6,Basavanagudi,200.0,,,"rice bath,masala dosa"
Matru Sagar,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",3.6,Banashankari,250.0,friends-hangout,,"Masala dosa,coffee,north indian thali,chinese manchurian,Paneer chilly,roti,Kaju masala,paneer butter masala,Idlis,pav bhaji,masala puri,Idly Sambar,gobi manchuri,baby corn manchuri,Paneer Butter Masala,idlis,dosas,bonda soup,kesari,kharabath,carrot halwa,kaashi halwa,bondas,bhajjis,sandwiches,milkshakes,ice creams,Manchurians,fried rice,chat items"
Vasanth Vihar - Since 1965,"78, Nagendra Block, Giri Nagar, II Phase, Banashankari,Bangalore",3.6,Banashankari,150.0,,,"wheat pongal,Udupi style kotte kadubu,uppittu"
Sea Spice by 7 Star,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",4.0,Banashankari,1.2,family-friendly,Yes,"prawn ghee roast,krab masala,kori roti,chicken gravy,appam"
Desi Dawat,"1328, 50 Feet Road, Stage 1, Kumaraswamy Layout, Bangalore",3.7,Kumaraswamy Layout,400.0,bad,,Triple schezwan fried rice
Cafe Aira,"23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore",4.1,Basavanagudi,500.0,excellent,,"Jalapeno poppers,Alfredo pasta,Schezwan rice,pizza pocket,classic nachos,veg cheese pasta,mojito,falafel sandwich,Blue Curacao,pastas,fries"
Penthouse Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0,Banashankari,700.0,friends-hangout,,"Veg Steak,pasta,pizza,sizzler,chicken burgers,Nachos Cheese Salsa,BBQ Chicken Grilled Burger,Jalapeno Cottage Cheese Burger,Nutella shake,hot chocolate,Garlic bread,Cheese balls"
Mast Punjabi,"534, 49th Cross, 50 Feet Road, Kumaraswamy Layout, Bangalore",2.6,Kumaraswamy Layout,400.0,bad,,"Maharaja thali,puri sabzi,Chola bhatura,Punjabi food"
South Grand,"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore",3.4,Uttarahalli,400.0,good,,"Veg pepper masala,paneer fry"
Catch-up-ino,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",3.9,Banashankari,800.0,bad,,"hookah,masala french fries"
The Pizzeria,"1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore",2.8,Banashankari,800.0,friends-hangout,,few selected pizzas
Cafe Zone,"2nd Cross, JHBCS Layout, Kumaraswamy Layout, Bangalore",3.9,Kumaraswamy Layout,300.0,,No,Hyderabadi Biryani
Ruchis Point,"186, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,200.0,friends-hangout,No,"Paneer Manchurian,Mushroom Fried Rice,Gobi Manchurian,Aloo Twist,Chinese items"
Firangi Bake,"8th Main Road, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru",4.0,Rajarajeshwari Nagar,600.0,,,"Bombay masala quesadilla,Corn and pimento lasagne,Chicken kheema Quesadilla,Minced chicken Lasagna"
The Royal Corner - Pai Viceroy,"Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore",4.2,Jayanagar,900.0,good,Yes,"Mixed fruit juice,vanilla milkshake,Cupcakes,slice cake,veg sandwich,cut fruits,Idli,vada,tomato chutney,coconut chutney,Cheese garlic balls,Chole,bhatura,Baked beans,Moong dal halwa,plain dosa,masala dosa,paneer Afghani Tikka,Rajasthani roti,stuffed paratha,garlic naan,Bhutta palak,Corn Pulav"
Hara Fine Dine,"2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.0,Banashankari,800.0,bad,No,"crispy fingers,tandoor items,manchow soup,veg crisp,crispy corn,paneer satay,ghee pulkas,veg makhanwala"
Chocoberry,"30, 8th F Main Road, Jayanagar, Bangalore",3.5,Jayanagar,400.0,,,
Dakshin Grand,"2, Subramanyapura, Kadirenahalli Overbridge Junction, 2nd Stage, Banashankari, Bangalore",3.0,Banashankari,300.0,,,
Sandwichwallas,"278, 37th A Cross, 2nd Main, 8th Block, Jayanagar, Bangalore",3.7,Jayanagar,200.0,,,"chilli garlic rice,white sauce pasta,pan pizzas,garlic bread,sandwich"
Chai Mane,"17,Bull Temple, Road, Basavanagudi, Bangalore",3.6,Basavanagudi,150.0,friends-hangout,,"mayonise sandwich,burger,chocolate tea,Oreo shake,French fries,chocolate ice cream,sandwiches,masala chai,lassi,milkshake,Vada Pav,Ginger Chai"
SLV Upachar,"1328, 50 Feet Road, Kumaraswamy Layout, Bangalore",3.1,Kumaraswamy Layout,250.0,,,
Waffle-A-Go Go,"599, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,400.0,,,
Cross Road Cafe,"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",3.9,Jayanagar,300.0,,,
Anand Donne Biriyani,"644, 1 B, Main Road, Kanakapura Road, 8th Block, Jayanagar, Bangalore",3.6,Jayanagar,200.0,bad,,"biriyani,chicken,starters"
Seven Star,"23/35, 7th Cross, Dwarakanagar, Hosakerhalli, Banashankari, Bangalore",3.4,Banashankari,250.0,,,
Stop 'N' Joy,"30, 7th Cross, Dwaraka Nagar, Banashankari, Bangalore",3.8,Banashankari,150.0,friends-hangout,,"bun samosa,cold coffee,bread omelette,banana shake,Oreo shake,cheese Maggi,Capsicum sandwich,All variants of bun samosa"
Sri Yaksha Shiv Sagar,"940, 20th Main, Opposite South Entrance, BDA Complex, Banashankari, Bangalore",3.6,Banashankari,600.0,friends-hangout,,"dal kichadi,faluda,Hyderabadi briyani,Kasmiri briyani,Paneer fried rice,Chinese rice,North Indian currys,soup,palak fried rice,butter naan"
Fudge,"Sri Chakravarthi Complex, Sajjan Rao Circle, V.V. Puram, Basavanagudi, Bangalore",3.8,Basavanagudi,200.0,friends-hangout,,"OMG Sundae,Veg Momos,Chocolate fudge,Nachos,Oreo Milkshake,Brownie Fudge"
Just Bunny,"45, 6th C Main Road, 4th Block, Jayanagar, Bangalore",3.5,Jayanagar,200.0,cozy,,"curries,Rajma curry,bunny chow,paneer,Rajma,soya chunks"
Bakers Town,"269, JHBCS Layout, 2nd Main Road, Teacher's Colony, Kumaraswamy Layout, Bangalore",3.8,Kumaraswamy Layout,650.0,excellent,,"chicken nuggets,zinger burger,Cesar salad"
Shree Mahalakshmi Sweets,"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore",3.2,Banashankari,100.0,,,
Kaapi Kendra,"278, 34th Cross Road, 4th Block, Jayanagar, Bangalore",3.7,Jayanagar,100.0,,,"filter coffee,sweet and salt cookies"
Ivy,"1616, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",3.8,Kumaraswamy Layout,600.0,,,"grill chicken,shawarma,lollipop,Paneer tikka,paneer butter masala,mushroom masala,veg fried rice,schezwan veg fried rice,roti"
The Airos,"22, 2nd Main Road, National College Road, 7th Block, Jayanagar, Bangalore",4.1,Jayanagar,650.0,excellent,,"Garlic bread with cheese,Pesto Melody pizza,Lasagna a la Mexicana,Choco mug with vanilla ice cream,Coffee,Sandwiches,Tomato Soup,Cheese Balls,Nuggets,Pasta,Mushroom cheese bombs,Arrabiata,Alfredo,Aglio Olio,Classic Margarita Pizza"
Chai Kraft,"146, 6th C Main Road, 1st Block, Jayanagar, Bangalore",4.1,Jayanagar,100.0,friends-hangout,,"Ginger Chai,masala Chai,Cranberry ice tea,upma,puff,Maggie noodles,Purple tea,Dum chai,Banana Cake,Dhabeli"
Kirthi's Biryani,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,700.0,,,pizza
South Point Pub,"54, Rashtriya Vidyalaya Road, 2nd Block, Basavanagudi, Bangalore",3.4,Basavanagudi,800.0,friends-hangout,,"Masala papad,baby corn manchuri"
The Trundle,"34/1, 2nd & 3rd Floor, 36th Cross, 6th Main, 4th Block, Jayanagar, Bangalore",3.7,Jayanagar,700.0,excellent,,Dum murgh - cheesy chicken served in matka
The Krishna Grand Xpress,"183/28, 2nd Main Road, 36th B Cross, 7th Block, Jayanagar, Bangalore",4.0,Jayanagar,350.0,good,,"Arabian pulpy juice,vada,Chutney,sagu masala,pepper paneer,Mushroom Curry,Masala Dosa,pomegranate juice"
Sri Krishna Darshini,"60/2, Sajjan Rao Circle, V V Puram, Basavanagudi, Bangalore",3.1,Basavanagudi,200.0,,,"gobi manchurian,filter coffee,idly,bisibele bath,kadai paneer,naan,butter naan,Butter Naan Curry,Puri"
Shringar Sweets  Snacks,"12, Ground Floor, R V Road, Near Southend Metro Station, Basavanagudi, Bangalore",3.5,Basavanagudi,200.0,excellent,,"Gulab Jamun,dosa,Jalebi,sandwiches,Kaju Katli,carrot halwa,Bombay styled pav bhaji,Chinese sandwich,Russian sandwich,spinach corn sandwich,HOT JILABI"
Udupi Grand,"49, South End Road, Nagasandra Circle, Basavanagudi, Bangalore",3.8,Basavanagudi,300.0,excellent,No,"Avarekalu dosa,Udupi grand tea,Dosa Avarekalu,Coconut chatni,vegetable Biryani,Palak paneer,pulao,Masala Dosa,Akki rotti,shavige,Rava Dosa,Vegetable Sagu"
Ganesh Grand,"91/1, Ganesh Mahal Building, Sirsi Road, Chamarajpet, Basavanagudi, Bangalore",3.7,Basavanagudi,300.0,family-friendly,,"Baby Corn Manchrian,Butter Naan,Kulchas,Veg Kohlapuri,Tawa Pulav"
Shreyas Upahar  Burger Point,"Jain Temple Street, V.V.Puram, Basavanagudi, Bangalore",3.0,Basavanagudi,200.0,,,"idly,vada,variety of rice,Ragi ball,mudde,chapatti meals,variety of payasa,maharaja burger"
Coffee Tindi,"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",3.8,Banashankari,200.0,,,"sambar,idli,Kesari bath,set dosa,Rava dosa,masala dosa,south meals,Paneer in green pepper sauce,baby corn lollipop"
Little Cafe,"21,National High School Road,VV Puram, Basavanagudi, Bangalore",3.7,Basavanagudi,600.0,friends-hangout,,"rose the magic (shake),Maggi,pizza,grill sandwich"
Mumbai Badam Milk  Lassi Center,"11/3, Old Market Road, V V Puram, Basavanagudi, Bangalore",3.6,Basavanagudi,100.0,,,"chocolate kulfi,pista kulfi,mango kulfi,custard falooda ice cream,kesar lassi,gulab jamoon,kajar halwa,ghulkand,Malawi,anjeer kulfis,rabdi,Doodh pheni,Rabdi-Jalebi,Rose Milk,Rasmalai,chocolate mint,dark chocolate,Badam Milk,Pheni"
Sri Krishna Sagar,"22nd Cross, 22nd Main Road, 2nd Stage, Near BDA Complex, Banashankari, Bangalore",3.2,Banashankari,400.0,,,"dal fry,roti,Paratha,Paneer Kadai,mushroom masala"
Mylari Biryani Family Restaurant,"198, 2nd Block, 3rd Stage, Outer Ring Road, Banashankari, Bangalore",3.7,Banashankari,400.0,,,"mutton biriyani meal,chicken biriyani meal,biriyani kabab"
1980s Games Cafe,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",3.4,Basavanagudi,400.0,friends-hangout,,"Maggi,Paneer Starters"
Kadala Tarangaa,"27, 27th Cross, 1st Floor, Kadamba Complex, 2nd Stage, Banashankari, Bangalore",3.6,Banashankari,600.0,bad,,"Fish Anjal,Bangda,Mutton Fry,Chicken Tandoori,Chilli Chicken,Baby Corn Manchurian,Ghee Roast with Neer Dosa,Chicken Biryani,Fish Meal"
Namma Biryani,"1111, Near KIMS, 30th Main Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",3.6,Banashankari,250.0,bad,,"briyani,non veg items,grill chicken,porattas,chicken combo thali"
Nandhanu's Rasoi,"Dayanandasagar College Road, Teachers Colony, Kumaraswamy Layout, Bangalore",3.0,Kumaraswamy Layout,400.0,,,
Hotel Pork Paradise,"D/25, 2nd Main, 260 Mysore Road Tollgate, Opposite Gopalan Mall, Mysore Road, Bangalore",3.7,Mysore Road,300.0,family-friendly,,"pork fry,pepper dry,chilli,egg burji,egg masala,Coorg Style Fried Pork,Akki Rotti,Pork Chilli"
As On Fire,"75, 21st Main Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",3.5,South Bangalore,400.0,friends-hangout,,"Masala Madness Pizza,chocolate shake,magic mushroom,non veg starters,veg starters,BBQ,thin crust pizza,Chicken Drumsticks,wood fire pizza"
J K Fish Land,"272, 14th Cross Road, Yediyur, Jayanagar, Bangalore",3.6,Jayanagar,300.0,,,"squid ghee roast,boiled rice,karavali style food,Mangalore style food"
Curry Leaves,"15, 1st Main, Kariyappa Road, Basavanagudi, Bangalore",4.1,Basavanagudi,800.0,family-friendly,Yes,"anjal masala fry,prawn ghee roast,prawn ghassi with kori roti,chicken malai tikka,crispy corn,anjal tawa fry,Mangalore style prawn ghassi with neer dosa,malai chicken tikka,mushroom ghee roast,deewani handi,Nilgiri Murgh,Mutton Chop Masala,Gadbad,gulab jamun,Brownie,prawns ghee roast,Methi Malai Mutter,Gudbud ice cream"
Lassi Shop,"742, 50 Feet Rd, Raghavendra Block, Banashankari 3rd Stage, Banashankari, Bangalore",3.5,Banashankari,300.0,,,"Falooda,fruits with ice cream"
Magic Meals,"50/51, 8th F Main, 3rd Block, Jayanagar, Bangalore",3.7,Jayanagar,400.0,friends-hangout,,"kabab,egg roll,Chicken roll,biryani,fish meals,jackfruit thick shake,natural tender coconut ice cream,Baby Corn Manchurian Sandwich,kheema sandwich,mango ice cream"
